User ID,Application_Submission_Number,Previous_Application,Previous_Approved
6391811a-73cc-4e40-b27b-979e40867cc6,1,1,0
6391811a-73cc-4e40-b27b-979e40867cc6,2,1,0
6567359f-00fa-4bee-a01c-495b28c5592e,1,1,0
66517b3d-b74c-4d7e-b2eb-b62202ef59e5,1,1,0
66b114a7-641e-4eaf-8e05-c6bd948f5949,1,1,0
8d5ddfac-b1c0-4c8f-ae66-896dd59c9f8a,1,1,1
a374b7ce-a754-4abd-b25d-e354043067ad,1,1,0
cb9dcc83-82e4-41bd-a525-292362a60019,1,1,0
fd8d4d42-4a67-4d1e-9a0e-41489fcf98ff,1,1,0
fe46f759-974a-40d0-b32c-84e1c0f47503,1,1,0
ff1aa275-cdd3-42f5-b7d5-81c47deae22d,1,1,0
029109ea-8b71-4d31-976f-f7729f57ed7b,1,1,1
0319fd4f-948c-4313-b963-013d7d834b0b,1,1,1
039270bd-b53c-40b1-97dc-1794256d08b7,1,1,1
04adeaf6-73c4-4647-9ca5-53a7216b0f67,1,1,0
0545001b-dbbc-4a24-8eaa-3eab89a83196,1,1,0
05a8683c-c61f-48fc-8ec8-83bd4cb9a413,1,1,0
09a907ba-d0b9-4308-8552-af050bd03188,1,1,0
0a3a3aaf-c5fa-4215-ad41-c87120722165,1,1,0
0af55c6c-1633-4419-9618-14ba7b7db88a,1,1,0
13b31340-efde-4aca-b8b5-2e5e439747ca,1,1,1
16c1722e-dea3-40df-9503-1b7513d87ddb,1,1,1
16c1722e-dea3-40df-9503-1b7513d87ddb,2,1,1
16ca6ce8-8206-4dae-b45b-3d63f095ed48,3,1,0
2123336a-6ccb-401b-a697-94e0cdc7122f,1,1,1
31a6e08f-a37d-491e-af45-3443be7054f5,1,1,1
341ee4d3-988a-48fa-bf26-6c80d51f1e62,1,1,0
35dfd562-06c8-40c1-86af-c0c94aacf0cd,1,1,1
39d78638-6c9a-49ef-857e-43b0d50e77b6,1,1,1
3ac1910e-9bb7-4661-a0d7-d792149d71b0,1,1,1
4d4b500b-ca01-4ba5-a71b-0db6c45b6074,1,1,0
4de155e4-d625-4620-9ca5-c46dcfa10f38,1,1,0
4e0b13d5-3d95-43d0-9899-8d24291360c4,1,1,0
5d11b19c-748a-479b-9419-2cdd86e8248f,1,1,0
5d5fbd38-2885-4899-b412-35bb8de4de59,1,1,0
603dfddc-7e75-4161-ad7b-e6d44532ecb7,1,1,0
61ae76d3-c6a6-40d2-a204-883402d8f900,1,1,0
63adfb59-2ab7-4d64-b820-9d44aabf20d8,1,1,0
63dbd6b8-ee78-43f7-afdd-9d566304a937,1,1,0
64aff3dc-9cb4-474b-832b-47fae4553b49,1,1,0
662a7505-cd69-47d6-8f32-3b1afe55f7a0,1,1,0
67436673-0a73-4524-88dc-f38d06aa8531,1,1,0
67727f1a-cd48-4fa5-85f7-79078b036d7f,1,1,0
8bf9118c-cf56-4ec6-ae66-ddca41c62ab9,1,1,1
a43e6cd5-1902-4f5b-82bc-cd98b3a2923d,1,1,0
ca8b2563-d08d-483d-9cbc-388d43b8dc5c,1,1,0
cabcf670-9411-42ba-aa05-d87a335584fa,1,1,0
05e9d4ed-1f05-4370-a37c-f8799f6be976,1,1,0
061c71ac-04dd-48b3-a3cf-32b2ee4a1b6e,1,1,0
08385fbd-fa23-4072-93a8-08b762a46d16,1,1,1
08f1c998-9a2b-4798-bfb3-ee4e900b598a,1,1,0
0928057d-ac4d-4047-9778-1aec8a4022a1,1,1,0
0928057d-ac4d-4047-9778-1aec8a4022a1,2,1,0
0954cb0e-2ffe-4062-bff0-27bc2ac6250a,1,1,0
0a0983e8-5fdc-439b-b6ed-f6e0f02616a2,1,1,0
0abf8247-3143-4dbb-a6fa-7b6486c3d3fa,1,1,0
17a152b3-d294-41ad-874b-d242a50a363a,1,1,0
1983dce6-d202-4fb2-8675-a850b534083b,1,1,1
2abfe770-1082-43ca-8ab0-0ff5f07df4b4,1,1,1
3ddfd8b1-f7ac-4dca-b424-05abf8c5d133,1,1,1
47473f1c-e871-4dba-b9f5-140f51c65ca5,1,1,1
4cd33ffd-ce96-4a9b-8b13-214105b4d923,1,1,0
4cd33ffd-ce96-4a9b-8b13-214105b4d923,2,1,0
